2019-10-26 08:49:16[yx129:DubboClientHandler-123.207.35.198:30020-thread-5] INFO  DubboProtocol: [DUBBO] disconected from /123.207.35.198:30020,url:dubbo://123.207.35.198:30020/com.yxw.interfaces.service.HHService?application=www.yxw129.dispatcher.com&cluster=failsafe&codec=dubbo&dubbo=1.0&heartbeat=60000&interface=com.yxw.interfaces.service.HHService&methods=cancelReg,getIpVisitors,payCurReg,ackPayOrder,getMZFeeList,payReg,takeNo,refundReg,complementDeposit,getMZFeeDetail,setFriedAndDelivered,getBedFeeitem,getMedicineQueue,getOpVisitors,getDocTime,getPatientType,getStopReg,getChargeRecord,getExamineList,getDepositList,getReplaceReg,orderCurReg,getBedRecords,getExaminationList,getInspectDetail,createCard,getRegDoctors,getRegInfo,cancelCurReg,getMZPatient,getMedOrders,getPayFeeDetail,payDeposit,ackRefundReg,getPayFeeList,getExamineDetail,settleBedFee,getMZQueue,getRegRecords,getRegDepts,getHospitals,getOutSummary,getUnpaidRegRecords,getExamineQueue,getBedFee,getInspectList,getGrossIncome,getOutMedicine,charge,getDoctors,getDepts,orderReg,refundCurReg,ackRefundCurReg,getPerBedFee&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=rc&side=consumer&timeout=3000000&timestamp=1571990868633&version=rc, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 09:32:38[yx129:New I/O server worker #1-4] WARN  AbstractServer: [DUBBO] All clients has discontected from /192.168.0.88:20003. You can graceful shutdown now., dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 09:32:38[yx129:DubboServerHandler-192.168.0.88:20003-thread-17] INFO  DubboProtocol: [DUBBO] disconected from /192.168.0.88:56915,url:dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&channel.readonly.sent=true&codec=dubbo&dubbo=1.0&dynamic=false&generic=false&heartbeat=60000&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987003010&version=dev, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 09:33:03[yx129:main] INFO  PropertiesUtils:Loading properties file from path:classpath:\config.properties
2019-10-26 09:33:03[yx129:main] INFO  LogbackContainer:using logger: logback
2019-10-26 09:33:03[yx129:main] INFO  Main:Use container type([spring]) to run dubbo serivce.
2019-10-26 09:33:03[yx129:main] INFO  ClassPathXmlApplicationContext:Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@321eeee0: startup date [Sat Oct 26 09:33:03 CST 2019]; root of context hierarchy
2019-10-26 09:33:03[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [spring-framework.xml]
2019-10-26 09:33:06[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from URL [file:/D:/eclipse2019project/yxw/yxw-interfaces-dispatcher/target/classes/dubbo/dubbo-service.xml]
2019-10-26 09:33:06[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [dubbo/consumer/service.xml]
2019-10-26 09:33:07[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [dubbo/provider/service.xml]
2019-10-26 09:33:07[yx129:main] INFO  YxwPropertyPlaceholderConfigurer:Loading properties file from URL [file:/D:/eclipse2019project/yxw/yxw-interfaces-dispatcher/target/classes/framework_dev.properties]
2019-10-26 09:33:07[yx129:main] INFO  AutowiredAnnotationBeanPostProcessor:JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-10-26 09:33:07[yx129:main] INFO  SpringContextHolder:注入ApplicationContext到SpringContextHolder:org.springframework.context.support.ClassPathXmlApplicationContext@321eeee0: startup date [Sat Oct 26 09:33:03 CST 2019]; root of context hierarchy
2019-10-26 09:33:09[yx129:main] INFO  AbstractConfig: [DUBBO] The service ready on spring started. service: com.yxw.mobileapp.invoke.OutsideInvokeService, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService to local registry, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService to url dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053589351&version=dev, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  AbstractConfig: [DUBBO] Register dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService url dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053589351&version=dev to registry registry://127.0.0.1:6379/com.alibaba.dubbo.registry.RegistryService?application=www.yxw129.dispatcher.com&dubbo=1.0&organization=www.yxw129.com&owner=www.yxw129.com&password=yixiang129&pid=12224&registry=redis&timestamp=1572053589332, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  AbstractServer: [DUBBO] Start NettyServer bind /0.0.0.0:20003, export /192.168.0.88:20003, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  RedisRegistry: [DUBBO] Load registry store file C:\Users\T440s\.dubbo\dubbo-registry-127.0.0.1.cache, data: {com.yxw.insurance.interfaces.service.InsuranceLocalDataService:dev=dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=4204&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883912669&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=7800&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571965409509&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=14976&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571898901193&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12616&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987074132&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=672&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571900211467&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=8728&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883817549&version=dev dubbo://192.168.0.88:20007/com.yxw.insurance.interfaces.service.InsuranceLocalDataService?anyhost=true&application=www.yxw129.mobileapp.com&charset=UTF-8&dubbo=yxw_dubbo&dynamic=false&generic=false&interface=com.yxw.insurance.interfaces.service.InsuranceLocalDataService&methods=localService&organization=www.yxw129.com&owner=www.yxw129.com&pid=14664&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571907127612&version=dev, com.yxw.interfaces.service.YxwCommService:dev=dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=22316&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571907065299&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=7496&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571898798876&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987003722&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=17544&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883860047&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=1796&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571900171414&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=19148&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571965357564&version=dev dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=17864&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883722292&version=dev, com.yxw.cache.core.serve.ServeComm:rc=dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=pop,pipeline,set,get,count,delete&organization=www.yxw129.com&owner=www.yxw129.com&pid=19448&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883840549&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=count,get,pipeline,set,delete,pop&organization=www.yxw129.com&owner=www.yxw129.com&pid=7520&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571965146335&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=pop,pipeline,set,get,count,delete&organization=www.yxw129.com&owner=www.yxw129.com&pid=20944&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571898779055&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=count,get,pipeline,set,delete,pop&organization=www.yxw129.com&owner=www.yxw129.com&pid=23824&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571986272480&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=pop,pipeline,set,get,count,delete&organization=www.yxw129.com&owner=www.yxw129.com&pid=4816&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571883704161&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=count,get,pipeline,set,delete,pop&organization=www.yxw129.com&owner=www.yxw129.com&pid=15972&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571900154061&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=count,get,pipeline,set,delete,pop&organization=www.yxw129.com&owner=www.yxw129.com&pid=9028&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571907044130&version=rc dubbo://192.168.0.88:20009/com.yxw.cache.core.serve.ServeComm?anyhost=true&application=www.yxw129.cache.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.cache.core.serve.ServeComm&methods=count,get,pipeline,set,delete,pop&organization=www.yxw129.com&owner=www.yxw129.com&pid=8948&revision=rc&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571899828988&version=rc, com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService:dev=dubbo://192.168.0.88:20025/com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService?anyhost=true&application=www.yxw129.insurance.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService&methods=hospitalSettlement,hospitalFeeDetailInfo,hospitalRegistration&organization=www.yxw129.com&owner=www.yxw129.com&pid=2356&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1570600495653&version=dev dubbo://192.168.0.88:20025/com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService?anyhost=true&application=www.yxw129.insurance.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService&methods=hospitalSettlement,hospitalFeeDetailInfo,hospitalRegistration&organization=www.yxw129.com&owner=www.yxw129.com&pid=10228&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571366535420&version=dev dubbo://192.168.0.88:20025/com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService?anyhost=true&application=www.yxw129.insurance.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService&methods=hospitalFeeDetailInfo,hospitalSettlement,hospitalRegistration&organization=www.yxw129.com&owner=www.yxw129.com&pid=15756&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1570523528161&version=dev dubbo://192.168.0.88:20025/com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService?anyhost=true&application=www.yxw129.insurance.com&charset=UTF-8&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.insurance.chinalife.interfaces.service.InsuranceChinalifeService&methods=hospitalSettlement,hospitalFeeDetailInfo,hospitalRegistration&organization=www.yxw129.com&owner=www.yxw129.com&pid=6184&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1570600751098&version=dev}, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:09[yx129:main] INFO  RedisRegistry: [DUBBO] Register: dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053589351&version=dev, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:10[yx129:main] INFO  RedisRegistry: [DUBBO] Subscribe: provider://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&category=configurators&check=false&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053589351&version=dev, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:10[yx129:main] INFO  AbstractConfig: [DUBBO] The service ready on spring started. service: com.yxw.interfaces.service.YxwCommService, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:10[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.interfaces.service.YxwCommService to local registry, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:10[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.interfaces.service.YxwCommService to url dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053590072&version=dev, dubbo version: 1.0, current host: 127.0.0.1
2019-10-26 09:33:10[yx129:main] INFO  AbstractConfig: [DUBBO] Register dubbo service com.yxw.interfaces.service.YxwCommService url dubbo://192.168.0.88:20003/com.yxw.interfaces.service.YxwCommService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.interfaces.service.YxwCommService&methods=invoke&organization=www.yxw129.com&owner=www.yxw129.com&pid=12224&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572053590072&version=dev to registry registry://127.0.0.1:6379/com.alibaba.dubbo.registry.RegistryService?application=www.yxw129.dispatcher.com&dubbo=1.0&organization=www.yxw129.com&owner=www.yxw129.com&password=yixiang129&pid=12224&registry=redis&timestamp=1572053590071, dubbo version: 1.0, current host: 127.0.0.1
